,kernel_sizes,filters,pool_sizes,FC_nodes,lr,performance
0,"[10, 6, 4]","[7, 10, 16]","[9, 8, 7]","[64, 8, 2]",0.00022156975018740668,"[74.00798034667969, 74.00798034667969]"
1,"[10, 5]","[15, 16]","[10, 3]",[4],0.004729585404349484,"[0.034864217042922974, 0.034864217042922974]"
2,"[5, 4, 2]","[15, 18, 21]","[3, 2, 1]","[128, 2, 2]",8.635269657714899e-05,"[79.33747100830078, 79.33747100830078]"
3,"[5, 4, 4, 3]","[7, 11, 12, 22]","[10, 8, 5, 3]","[8, 8, 4]",0.03846248331832614,"[0.984245240688324, 0.984245240688324]"
4,"[10, 10, 4, 2, 1]","[1, 1, 9, 19, 21]","[10, 8, 7, 7, 6]","[64, 32]",2.1563873101112882e-05,"[0.9859367609024048, 0.9859367609024048]"
5,"[9, 7, 6, 5, 1]","[3, 6, 6, 21, 23]","[10, 10, 6, 3, 2]","[128, 8]",6.802382526206787e-05,"[0.9844403862953186, 0.9844403862953186]"
6,"[10, 9, 5, 5, 1]","[12, 12, 13, 22, 24]","[7, 6, 5, 5, 3]","[128, 8]",0.0001234208762816412,"[0.9642950296401978, 0.9642950296401978]"
7,"[6, 5, 5]","[9, 21, 22]","[10, 6, 2]",[2],1.1636825458985528e-05,"[0.9921354055404663, 0.9921354055404663]"
8,"[9, 9, 3, 3]","[5, 9, 10, 20]","[10, 7, 5, 3]","[32, 32, 32]",1.5748620302682946e-05,"[0.9817266464233398, 0.9817266464233398]"
9,"[3, 1]","[1, 14]","[6, 5]","[64, 2]",0.07420918107052189,"[0.9819315671920776, 0.9819315671920776]"
10,"[10, 8, 2]","[5, 12, 14]","[9, 7, 1]",[8],2.9520516604893136e-05,"[0.9777441024780273, 0.9777441024780273]"
11,"[10, 10, 4, 3]","[6, 11, 14, 14]","[10, 6, 3, 2]","[16, 8, 4]",0.04340500607644682,"[0.5976500511169434, 0.5976500511169434]"
12,[5],[17],[10],"[128, 32, 8]",0.0003577085138597675,"[0.9554286003112793, 0.9554286003112793]"
13,"[8, 7, 4, 2]","[12, 14, 18, 19]","[5, 4, 2, 2]","[64, 64]",4.279813327011773e-05,"[0.9733918309211731, 0.9733918309211731]"
14,"[9, 8, 5, 3]","[4, 8, 9, 10]","[10, 7, 5, 4]",[16],0.014781821061402382,"[0.9865090847015381, 0.9865090847015381]"
15,"[9, 7, 7, 7, 2]","[4, 10, 12, 13, 24]","[10, 6, 6, 4, 1]","[64, 2, 2]",2.4849917295160032e-05,"[0.9879752397537231, 0.9879752397537231]"
16,"[6, 2, 2]","[5, 12, 20]","[9, 5, 4]",[4],0.001047525301711433,"[46.80234909057617, 46.80234909057617]"
17,"[10, 8, 2, 1]","[5, 14, 14, 15]","[9, 6, 3, 2]","[128, 8, 4]",0.0016752613700320087,"[0.4140145480632782, 0.4140145480632782]"
18,"[7, 3]","[21, 22]","[5, 1]","[128, 128]",0.008756555455549073,"[0.8013330101966858, 0.8013330101966858]"
19,"[10, 10, 10, 1]","[2, 10, 14, 18]","[8, 7, 6, 5]","[64, 2]",5.8263772738096764e-05,"[80.47822570800781, 80.47822570800781]"
20,"[8, 6, 3]","[7, 12, 16]","[8, 7, 7]","[8, 8]",0.011732221144920266,"[0.386481910943985, 0.386481910943985]"
21,"[9, 8, 4]","[5, 7, 20]","[8, 5, 1]","[32, 16, 2]",0.0002711531843276028,"[0.9379081726074219, 0.9379081726074219]"
22,"[9, 6, 6, 2]","[6, 7, 15, 16]","[10, 8, 6, 5]",[16],0.0003389726447692671,"[0.9328324794769287, 0.9328324794769287]"
23,[6],[19],[7],[4],0.007906402243640748,"[0.9817349910736084, 0.9817349910736084]"
24,"[10, 3, 3, 1]","[2, 14, 23, 23]","[10, 8, 8, 5]","[64, 64, 16]",3.78677493939199e-05,"[0.9774123430252075, 0.9774123430252075]"
25,"[9, 9, 5]","[11, 19, 22]","[8, 6, 3]",[32],0.042151017954708214,"[0.9775971174240112, 0.9775971174240112]"
26,"[4, 2]","[1, 12]","[8, 3]","[128, 16, 4]",0.006411091744653168,"[1.1038936376571655, 1.1038936376571655]"
27,[2],[9],[8],[64],6.552487666067795e-05,"[0.9857683181762695, 0.9857683181762695]"
28,"[8, 7, 6]","[3, 16, 24]","[7, 6, 5]","[64, 64]",0.016862006389555203,"[0.975084662437439, 0.975084662437439]"
29,"[10, 8, 6, 3, 2]","[9, 12, 12, 12, 21]","[10, 9, 8, 3, 2]","[128, 128, 4]",0.038761488501756716,"[0.9839034676551819, 0.9839034676551819]"
30,"[8, 7, 2, 2]","[2, 7, 14, 18]","[10, 5, 5, 2]","[128, 16]",8.689430229410148e-05,"[0.9673641324043274, 0.9673641324043274]"
31,"[7, 6, 1]","[9, 9, 23]","[7, 5, 3]",[4],0.003811507871652447,"[6.2569050788879395, 6.2569050788879395]"
32,"[9, 7, 1]","[8, 21, 23]","[10, 7, 4]","[16, 4]",0.0004678046938715373,"[64.9512710571289, 64.9512710571289]"
33,"[10, 7, 4]","[7, 16, 22]","[10, 9, 1]","[64, 4]",1.788599235412496e-05,"[0.9861040711402893, 0.9861040711402893]"
34,[5],[9],[6],"[128, 64]",0.0045067519134931195,"[0.21644660830497742, 0.21644660830497742]"
35,"[8, 7, 4]","[4, 13, 19]","[4, 4, 1]",[8],0.0033221584698913077,"[0.26578956842422485, 0.26578956842422485]"
36,[7],[2],[7],[4],0.006667188049167065,"[0.7864232063293457, 0.7864232063293457]"
37,"[10, 9, 3, 1]","[5, 8, 10, 16]","[9, 8, 5, 3]","[64, 32, 8]",0.038241657706609054,"[0.3515250086784363, 0.3515250086784363]"
38,"[7, 6, 2]","[4, 6, 24]","[6, 5, 2]","[16, 2]",0.017421017514635907,"[0.9859510064125061, 0.9859510064125061]"
39,"[6, 2]","[12, 13]","[7, 7]","[4, 4]",0.0006272873320945598,"[59.52925491333008, 59.52925491333008]"
40,[7],[22],[3],"[128, 16, 8]",0.0006421578276231875,"[0.9124060273170471, 0.9124060273170471]"
41,[10],[19],[6],"[32, 4]",0.005734210833625697,"[0.09363824129104614, 0.09363824129104614]"
42,"[7, 7, 5, 4, 3]","[2, 6, 9, 11, 16]","[8, 7, 6, 3, 2]","[32, 32, 8]",0.024867171643287462,"[1.1945037841796875, 1.1945037841796875]"
43,"[9, 5, 5, 1]","[3, 11, 19, 23]","[10, 9, 4, 1]","[128, 8, 2]",0.005062782078865939,"[2.283783435821533, 2.283783435821533]"
44,"[9, 5, 4, 4, 3]","[4, 7, 15, 16, 22]","[9, 8, 8, 7, 1]","[128, 2, 2]",3.37203349574814e-05,"[0.97819584608078, 0.97819584608078]"
45,"[10, 4, 1]","[13, 23, 24]","[9, 7, 6]",[64],0.0009423474606823852,"[0.11114975064992905, 0.11114975064992905]"
46,"[10, 2]","[15, 16]","[10, 9]","[32, 8]",0.00025518790261454916,"[0.8688519597053528, 0.8688519597053528]"
47,"[9, 3, 2]","[14, 16, 23]","[4, 2, 1]","[64, 4, 4]",0.009125504397062709,"[0.10291431844234467, 0.10291431844234467]"
48,"[9, 8]","[13, 24]","[8, 2]","[16, 8, 8]",0.0004270758049145288,"[0.9044598937034607, 0.9044598937034607]"
49,"[10, 5]","[1, 19]","[8, 1]",[128],0.002955809012195484,"[0.49106407165527344, 0.49106407165527344]"
50,[10],[17],[2],[32],0.06116493927249515,"[0.545623779296875, 0.545623779296875]"
51,[7],[19],[3],[128],2.1012416259377487e-05,"[0.9882633090019226, 0.9882633090019226]"
52,"[6, 3, 2]","[1, 12, 15]","[8, 4, 3]","[64, 8]",0.00016529772140626387,"[0.982078492641449, 0.982078492641449]"
53,"[10, 7, 4, 2, 1]","[3, 3, 6, 17, 21]","[10, 9, 8, 5, 4]","[64, 32]",6.382494439951503e-05,"[0.9789349436759949, 0.9789349436759949]"
54,"[10, 9, 9, 8, 2]","[2, 6, 9, 17, 18]","[9, 8, 5, 5, 4]","[128, 32, 4]",0.0001352123701658994,"[0.9611281156539917, 0.9611281156539917]"
55,"[9, 3, 2, 1]","[6, 9, 21, 22]","[9, 6, 2, 2]","[64, 4, 2]",0.00470073964563004,"[3.015071392059326, 3.015071392059326]"
56,"[10, 6, 5, 4, 2]","[6, 8, 9, 12, 16]","[9, 9, 3, 2, 2]","[128, 4, 2]",1.2019013054664678e-05,"[0.9868613481521606, 0.9868613481521606]"
57,"[10, 3]","[8, 22]","[6, 1]",[32],0.0007894835452927824,"[0.6424541473388672, 0.6424541473388672]"
58,"[10, 10, 7, 7, 2]","[7, 7, 9, 12, 21]","[10, 9, 5, 4, 1]","[128, 64, 4]",0.0002795225010387124,"[0.9853507876396179, 0.9853507876396179]"
59,"[2, 2, 2]","[4, 15, 21]","[6, 6, 2]","[64, 32]",0.0017874373409743404,"[1.0862846374511719, 1.0862846374511719]"
60,"[9, 6, 3, 2]","[1, 1, 2, 19]","[4, 4, 3, 1]","[128, 64, 4]",0.0006747435761885312,"[1.0162701606750488, 1.0162701606750488]"
61,"[9, 3]","[18, 24]","[7, 1]",[8],4.149922827262712e-05,"[0.9886193871498108, 0.9886193871498108]"
62,"[8, 5, 4]","[20, 23, 23]","[9, 7, 4]","[64, 32]",0.00029255300079697043,"[0.8625975251197815, 0.8625975251197815]"
63,"[7, 6, 4, 2]","[1, 12, 22, 24]","[7, 4, 3, 3]",[8],0.0010107436948958999,"[0.9553512930870056, 0.9553512930870056]"
64,"[10, 9, 8, 5, 4]","[3, 9, 13, 21, 24]","[6, 4, 3, 3, 2]","[128, 4, 2]",1.4380143006539054e-05,"[0.9903069138526917, 0.9903069138526917]"
65,"[10, 8, 4, 3]","[2, 13, 13, 21]","[10, 8, 4, 2]",[2],8.140235280166408e-05,"[0.9873050451278687, 0.9873050451278687]"
66,"[10, 8, 5]","[4, 7, 14]","[8, 2, 2]","[64, 8]",0.00045799553067611036,"[1.109980583190918, 1.109980583190918]"
67,"[7, 6, 4, 3, 1]","[4, 7, 8, 10, 21]","[9, 7, 4, 4, 1]","[16, 2]",0.0007471688324020288,"[55.663516998291016, 55.663516998291016]"
68,"[9, 5, 4, 2, 1]","[3, 5, 11, 14, 18]","[10, 6, 5, 4, 1]","[128, 16]",0.0018582983310441415,"[0.5185299515724182, 0.5185299515724182]"
69,"[8, 7, 2]","[1, 2, 17]","[9, 9, 7]","[64, 8]",0.028281152403011173,"[0.7050214409828186, 0.7050214409828186]"
70,"[10, 7, 3]","[12, 14, 15]","[6, 6, 4]","[32, 8]",2.812199881362732e-05,"[0.9859387278556824, 0.9859387278556824]"
71,[8],[15],[8],"[64, 8]",0.0055322453720884415,"[0.08947673439979553, 0.08947673439979553]"
72,[2],[18],[2],"[64, 32, 16]",5.6761822834213086e-05,"[0.9849023818969727, 0.9849023818969727]"
73,"[9, 9]","[15, 24]","[8, 1]","[64, 4, 2]",0.0339266110218558,"[0.9835823178291321, 0.9835823178291321]"
74,"[7, 7, 6, 3, 2]","[1, 11, 11, 13, 21]","[9, 6, 5, 4, 2]","[2, 2]",0.005733021707834946,"[1.507713794708252, 1.507713794708252]"
75,"[9, 8, 4, 4]","[2, 3, 9, 14]","[10, 6, 1, 1]",[128],0.0011269393884355734,"[0.8120917677879333, 0.8120917677879333]"
76,"[9, 9, 7, 4, 3]","[8, 12, 20, 20, 22]","[8, 8, 8, 7, 5]","[16, 4]",0.039940398270820264,"[0.9827497601509094, 0.9827497601509094]"
77,[9],[6],[9],"[128, 4, 2]",0.03878813388742324,"[0.9837023615837097, 0.9837023615837097]"
78,"[7, 3]","[12, 13]","[9, 8]","[64, 64, 2]",0.009474465715682194,"[0.35413360595703125, 0.35413360595703125]"
79,"[7, 7, 6, 4, 2]","[6, 11, 13, 20, 22]","[6, 4, 4, 3, 1]",[32],0.001438392352902247,"[0.7259466648101807, 0.7259466648101807]"
80,"[5, 4, 3, 2]","[4, 5, 8, 23]","[9, 7, 2, 1]","[32, 32, 2]",2.9524442738938597e-05,"[81.65917205810547, 81.65917205810547]"
81,"[10, 6, 5]","[9, 14, 22]","[10, 9, 2]",[16],0.00019594876090656138,"[0.9574316740036011, 0.9574316740036011]"
82,[3],[19],[3],"[8, 4]",0.00011319055582960403,"[78.26332092285156, 78.26332092285156]"
83,"[9, 9, 7, 7]","[12, 14, 15, 16]","[9, 9, 7, 6]","[64, 4, 4]",0.0247817941095648,"[0.9820522665977478, 0.9820522665977478]"
84,"[9, 2]","[7, 17]","[6, 1]",[8],0.00017145854562110305,"[0.9638651609420776, 0.9638651609420776]"
85,"[9, 9, 8, 2]","[13, 13, 13, 18]","[10, 9, 7, 5]","[32, 16, 4]",1.2012789441916395e-05,"[82.38033294677734, 82.38033294677734]"
86,"[10, 7, 2]","[14, 21, 24]","[10, 5, 4]","[128, 4, 2]",0.01046244441426953,"[1.3310033082962036, 1.3310033082962036]"
87,"[10, 4, 3, 3, 1]","[8, 8, 11, 19, 23]","[9, 9, 5, 3, 1]","[128, 4]",5.100965799818777e-05,"[0.9784897565841675, 0.9784897565841675]"
88,"[9, 9, 8, 6, 5]","[2, 18, 22, 24, 24]","[9, 9, 6, 2, 2]","[64, 64, 64]",0.0005494434175531404,"[0.9164623022079468, 0.9164623022079468]"
89,[1],[6],[4],"[32, 8]",0.033180457721118065,"[1.311299443244934, 1.311299443244934]"
90,[5],[4],[8],"[8, 2]",0.01937167075742566,"[0.8038150668144226, 0.8038150668144226]"
91,"[6, 4, 3, 3, 1]","[1, 3, 7, 14, 22]","[10, 9, 8, 7, 7]",[8],0.00163962749025126,"[0.9209656715393066, 0.9209656715393066]"
92,"[9, 6, 1]","[6, 7, 20]","[7, 4, 1]","[64, 16, 8]",0.000566146483377653,"[0.9558153748512268, 0.9558153748512268]"
93,"[6, 4]","[16, 20]","[8, 4]",[8],0.006380875496058366,"[0.11494658142328262, 0.11494658142328262]"
94,"[7, 6]","[20, 22]","[10, 4]","[8, 4]",0.007380975868064961,"[0.038127340376377106, 0.038127340376377106]"
95,"[10, 7, 6, 2]","[4, 14, 17, 20]","[10, 8, 4, 1]","[4, 2]",0.00011560908873066334,"[0.9563603401184082, 0.9563603401184082]"
96,[8],[23],[3],[8],0.03161931695908068,"[0.975803792476654, 0.975803792476654]"
97,[5],[15],[7],[16],1.0925089329941745e-05,"[31.78257942199707, 31.78257942199707]"
98,"[9, 8, 6]","[8, 19, 20]","[10, 8, 1]","[4, 2]",0.018253831336457166,"[1.0959504842758179, 1.0959504842758179]"
99,"[10, 10, 6]","[1, 1, 2]","[6, 5, 5]","[8, 2]",2.9044544913303585e-05,"[81.67591857910156, 81.67591857910156]"
100,"[10, 9, 7]","[2, 4, 13]","[9, 7, 5]","[128, 64, 8]",1.4399940385131336e-05,"[0.9841118454933167, 0.9841118454933167]"
101,"[7, 6, 1]","[1, 2, 6]","[10, 8, 3]","[128, 4]",0.044453352552704495,"[0.9813642501831055, 0.9813642501831055]"
102,"[7, 7, 3]","[1, 13, 23]","[10, 3, 1]","[64, 16, 2]",1.504919112296756e-05,"[0.9878899455070496, 0.9878899455070496]"
103,"[8, 8, 6, 4, 4]","[1, 6, 12, 19, 22]","[9, 9, 9, 8, 2]","[64, 64, 2]",3.5176146023053034e-05,"[0.9842919707298279, 0.9842919707298279]"
104,"[10, 5, 3, 1]","[8, 14, 20, 24]","[7, 3, 1, 1]","[16, 8]",0.0002577680983855011,"[1.0106089115142822, 1.0106089115142822]"
105,"[10, 6, 4, 3]","[6, 6, 10, 22]","[9, 5, 4, 1]","[128, 32, 16]",0.00037142179428655675,"[0.8863427042961121, 0.8863427042961121]"
106,"[9, 2, 1]","[5, 7, 22]","[9, 9, 8]",[8],0.0075376056466577865,"[0.20167531073093414, 0.20167531073093414]"
107,[4],[24],[5],[4],3.235773179550786e-05,"[0.9871814250946045, 0.9871814250946045]"
108,[1],[2],[3],"[2, 2, 2]",6.840155342161223e-05,"[80.06549072265625, 80.06549072265625]"
109,"[8, 8, 6, 2]","[7, 11, 13, 17]","[8, 7, 2, 1]","[128, 8]",0.035409065061689185,"[0.9990262985229492, 0.9990262985229492]"
110,[6],[14],[3],[64],0.045396752938946995,"[1.0717494487762451, 1.0717494487762451]"
111,"[10, 9, 2, 1, 1]","[4, 11, 12, 15, 22]","[10, 8, 4, 1, 1]","[64, 64, 32]",0.002797322479133113,"[0.41031843423843384, 0.41031843423843384]"
112,"[10, 4, 4, 3]","[5, 9, 17, 20]","[10, 10, 9, 5]","[16, 8, 4]",0.0037257307039846115,"[0.04516277462244034, 0.04516277462244034]"
113,"[10, 10, 9, 9, 5]","[2, 6, 7, 8, 14]","[9, 7, 7, 7, 2]","[32, 16]",0.0007617094397214927,"[0.8879603147506714, 0.8879603147506714]"
114,"[8, 7, 5, 4]","[1, 10, 17, 18]","[7, 6, 3, 2]","[64, 8]",0.0033787950843912353,"[0.8048046231269836, 0.8048046231269836]"
115,"[10, 3, 1]","[3, 12, 16]","[10, 7, 3]","[128, 4, 4]",0.049926116586979145,"[1.1583871841430664, 1.1583871841430664]"
116,"[10, 8, 5, 2, 2]","[1, 3, 5, 8, 17]","[9, 7, 6, 6, 2]","[128, 32, 32]",0.010708602506439487,"[0.9807929992675781, 0.9807929992675781]"
117,[6],[7],[7],"[128, 2, 2]",0.00012505922922560075,"[77.79411315917969, 77.79411315917969]"
118,"[5, 4, 4, 2]","[5, 12, 13, 22]","[10, 6, 2, 1]","[128, 64, 32]",0.05336194108049066,"[1.0224605798721313, 1.0224605798721313]"
119,"[10, 7]","[4, 14]","[10, 4]",[64],1.8090440709041924e-05,"[0.9844623804092407, 0.9844623804092407]"
120,"[9, 8, 1]","[11, 14, 16]","[9, 6, 3]","[128, 16, 16]",0.013805016485935193,"[0.38452067971229553, 0.38452067971229553]"
121,"[8, 7, 1, 1]","[6, 11, 12, 13]","[7, 6, 6, 1]","[8, 4, 2]",0.01194135236145201,"[0.982759416103363, 0.982759416103363]"
122,"[9, 2, 1]","[4, 16, 18]","[10, 10, 3]","[8, 4, 2]",0.015355932558964348,"[0.9828339219093323, 0.9828339219093323]"
123,"[10, 6, 2, 2]","[2, 3, 12, 18]","[10, 10, 7, 1]",[8],0.01463331164415788,"[0.21819335222244263, 0.21819335222244263]"
124,"[8, 4, 1, 1]","[1, 1, 1, 17]","[5, 5, 3, 3]",[32],0.01599166134451388,"[0.982631504535675, 0.982631504535675]"
125,[2],[18],[1],"[128, 8]",0.009507688703140607,"[0.41600900888442993, 0.41600900888442993]"
126,"[5, 3, 1]","[4, 9, 13]","[9, 4, 2]",[16],0.0003185177023259897,"[1.0111401081085205, 1.0111401081085205]"
127,"[7, 6, 5, 3]","[5, 9, 10, 15]","[10, 5, 4, 2]","[32, 32]",0.0003596243167230631,"[0.9639092683792114, 0.9639092683792114]"
128,"[8, 6, 2]","[2, 15, 16]","[9, 7, 5]","[128, 32]",2.2472392754065877e-05,"[0.9812690615653992, 0.9812690615653992]"
129,"[8, 4]","[4, 22]","[6, 1]",[64],0.00042388121184987535,"[0.9497546553611755, 0.9497546553611755]"
130,"[9, 6, 2, 1]","[1, 7, 8, 10]","[9, 6, 4, 3]",[32],0.000265692314234446,"[0.9677436947822571, 0.9677436947822571]"
131,"[8, 6, 5]","[7, 21, 23]","[7, 2, 1]","[64, 32, 8]",1.8867950770318657e-05,"[0.9855071306228638, 0.9855071306228638]"
132,"[10, 9, 6, 4]","[1, 8, 14, 20]","[10, 6, 4, 4]","[8, 8]",0.004459702796422327,"[0.6600986123085022, 0.6600986123085022]"
133,"[9, 6, 5, 5, 1]","[4, 9, 13, 15, 17]","[8, 8, 4, 3, 3]","[128, 128, 2]",0.0007545928629510338,"[55.43006134033203, 55.43006134033203]"
134,"[9, 8, 2, 2, 1]","[1, 3, 15, 16, 22]","[9, 9, 7, 7, 1]","[64, 16]",3.8747723991216527e-05,"[81.27709197998047, 81.27709197998047]"
135,"[9, 7]","[2, 21]","[9, 2]","[32, 16, 4]",1.8542055344508635e-05,"[0.9844390153884888, 0.9844390153884888]"
136,"[10, 9, 2]","[4, 8, 17]","[5, 5, 2]",[8],0.04059292269567307,"[0.985917866230011, 0.985917866230011]"
137,[8],[15],[8],"[64, 32, 8]",0.0049115093749264194,"[0.1254170835018158, 0.1254170835018158]"
138,"[10, 5, 5, 3, 1]","[5, 7, 18, 18, 19]","[9, 7, 5, 5, 2]","[64, 8]",0.0002823759325629003,"[0.9418887495994568, 0.9418887495994568]"
139,"[10, 7, 6, 3, 2]","[2, 5, 9, 11, 14]","[8, 8, 6, 5, 4]","[32, 2]",0.003710023143152649,"[6.8043317794799805, 6.8043317794799805]"
140,"[7, 5, 1]","[1, 11, 16]","[10, 4, 3]","[64, 64]",0.0016313679626128708,"[0.9736943244934082, 0.9736943244934082]"
141,"[9, 9, 9, 8, 7]","[5, 7, 16, 20, 22]","[8, 8, 6, 4, 1]",[128],0.0001478450006446172,"[0.9809530377388, 0.9809530377388]"
142,"[8, 7, 7, 5, 2]","[5, 8, 12, 13, 22]","[9, 9, 5, 5, 4]","[64, 8]",0.05936382976429299,"[0.9781545996665955, 0.9781545996665955]"
143,"[9, 5, 3, 2]","[7, 12, 17, 21]","[10, 8, 8, 4]","[32, 16, 4]",8.78494867455386e-05,"[0.9718111753463745, 0.9718111753463745]"
144,[1],[22],[1],"[128, 32, 8]",2.733083870962374e-05,"[0.9823926687240601, 0.9823926687240601]"
