,kernel_sizes,filters,pool_sizes,FC_nodes,lr,performance
0,"[10, 8, 4, 1, 1]","[7, 7, 18, 19, 21]","[10, 8, 4, 3, 1]","[64, 2]",0.003352076653314386,"[0.19681121408939362, 0.19681121408939362]"
1,"[7, 6, 5, 1]","[8, 19, 19, 21]","[10, 8, 6, 2]","[2, 2, 2]",0.07820451784275054,"[1.98764967918396, 1.98764967918396]"
2,"[10, 5, 2]","[14, 19, 23]","[9, 8, 4]",[128],0.0006075609055093041,"[0.1736876368522644, 0.1736876368522644]"
3,"[8, 8, 7, 4, 2]","[4, 15, 17, 19, 20]","[9, 9, 8, 4, 1]","[16, 8, 4]",6.16887336200532e-05,"[1.8851404190063477, 1.8851404190063477]"
4,"[10, 3, 3]","[6, 15, 24]","[7, 7, 6]","[64, 8, 4]",0.02457109044161611,"[1.861795425415039, 1.861795425415039]"
5,"[7, 2]","[15, 23]","[10, 1]","[128, 8, 4]",0.023322963919637688,"[1.5505523681640625, 1.5505523681640625]"
6,"[9, 9, 8, 8, 7]","[8, 9, 17, 19, 24]","[8, 6, 4, 3, 2]","[128, 128]",1.6569859629056262e-05,"[2.0431904792785645, 2.0431904792785645]"
7,"[9, 9, 8, 5]","[3, 9, 18, 19]","[9, 8, 4, 3]","[32, 16, 8]",0.00020527649340861174,"[2.706183433532715, 2.706183433532715]"
8,"[6, 5, 4, 3, 3]","[9, 12, 15, 18, 21]","[9, 7, 6, 5, 4]","[128, 4, 2]",0.00020319148877254493,"[24.357934951782227, 24.357934951782227]"
9,[10],[10],[2],"[128, 64]",0.00011182621545582127,"[1.8239320516586304, 1.8239320516586304]"
10,[2],[24],[2],"[64, 8, 2]",0.0026174517437811077,"[2.6941840648651123, 2.6941840648651123]"
11,"[10, 9, 4, 4, 1]","[15, 17, 18, 18, 22]","[10, 10, 9, 5, 3]",[2],0.030228418285874144,"[1.9565802812576294, 1.9565802812576294]"
12,"[8, 6, 5, 5, 5]","[4, 8, 9, 18, 20]","[10, 9, 8, 6, 5]","[8, 4]",0.03490028203171933,"[2.0718746185302734, 2.0718746185302734]"
13,"[7, 4]","[1, 19]","[8, 2]","[64, 16]",0.007531386381279109,"[1.9541083574295044, 1.9541083574295044]"
14,"[8, 4, 2, 1]","[3, 17, 21, 22]","[9, 4, 2, 2]",[8],0.020555794321768815,"[0.30093324184417725, 0.30093324184417725]"
15,"[2, 2, 2]","[13, 18, 24]","[8, 6, 6]","[32, 2]",0.06966192174706703,"[2.112088203430176, 2.112088203430176]"
16,"[8, 6, 3, 2]","[1, 2, 3, 9]","[9, 8, 7, 2]",[8],0.0017315873009546043,"[0.2377147525548935, 0.2377147525548935]"
17,"[10, 9, 7, 2]","[7, 12, 13, 15]","[8, 4, 4, 3]","[128, 32, 2]",0.00032067108954396097,"[2.154404878616333, 2.154404878616333]"
18,"[8, 6]","[10, 12]","[5, 4]",[16],4.374926206586261e-05,"[1.928261637687683, 1.928261637687683]"
19,"[9, 6, 3]","[4, 18, 24]","[9, 1, 1]","[64, 32]",0.00011145925692123073,"[2.567955732345581, 2.567955732345581]"
20,"[8, 8, 3]","[8, 18, 20]","[10, 3, 1]","[64, 64]",0.0006131310074535806,"[0.23304826021194458, 0.23304826021194458]"
21,"[9, 8]","[4, 15]","[7, 4]","[128, 8]",0.0019515323353086666,"[0.1918102353811264, 0.1918102353811264]"
22,"[9, 8]","[9, 22]","[10, 8]","[16, 4, 4]",0.0015369072559363811,"[6.160690784454346, 6.160690784454346]"
23,"[10, 8, 7, 2]","[3, 4, 22, 24]","[7, 6, 6, 6]","[128, 128]",1.6095473224252604e-05,"[1.956043004989624, 1.956043004989624]"
24,"[5, 3]","[9, 11]","[6, 4]",[8],0.0001877915740789811,"[1.37480890750885, 1.37480890750885]"
25,"[8, 6, 4, 2, 1]","[13, 14, 21, 22, 24]","[10, 10, 6, 4, 3]",[2],0.009673056035584002,"[1.979170322418213, 1.979170322418213]"
26,"[6, 5]","[14, 22]","[8, 4]","[128, 32, 16]",4.54291299811392e-05,"[1.8919531106948853, 1.8919531106948853]"
27,"[6, 4, 4, 3, 2]","[1, 5, 11, 17, 23]","[7, 5, 5, 4, 4]","[16, 8]",0.03863751400683928,"[2.063237428665161, 2.063237428665161]"
28,"[7, 2, 1]","[3, 19, 22]","[9, 8, 5]","[64, 32, 2]",0.0017061342536673736,"[0.3126530647277832, 0.3126530647277832]"
29,[1],[16],[10],"[8, 2, 2]",0.09155258887088856,"[1.9852137565612793, 1.9852137565612793]"
30,[9],[23],[6],[8],0.00010156027069204431,"[1.8932863473892212, 1.8932863473892212]"
31,"[10, 5, 3]","[7, 20, 21]","[10, 10, 6]",[64],0.0001990507460535,"[0.198471337556839, 0.198471337556839]"
32,"[7, 2]","[2, 16]","[8, 7]","[32, 8]",0.03435454248706624,"[1.9768362045288086, 1.9768362045288086]"
33,[2],[2],[4],"[128, 2]",0.016137931457240393,"[2.0191986560821533, 2.0191986560821533]"
34,[2],[1],[3],[4],6.752090227310469e-05,"[2.1889264583587646, 2.1889264583587646]"
35,"[7, 2, 1]","[4, 4, 6]","[8, 7, 2]","[128, 32, 8]",0.006854047059800049,"[2.2503533363342285, 2.2503533363342285]"
36,"[10, 9, 4, 4, 1]","[9, 11, 11, 21, 22]","[9, 7, 6, 4, 1]",[4],0.005847081817661007,"[1.9631999731063843, 1.9631999731063843]"
37,"[10, 7]","[14, 21]","[8, 4]",[8],0.0038452172974682906,"[0.19579914212226868, 0.19579914212226868]"
