,kernel_sizes,filters,pool_sizes,FC_nodes,lr,performance
0,"[9, 7, 6, 1]","[4, 10, 16, 22]","[9, 4, 2, 2]","[4, 2]",0.0002579476269334547,"[14.403124809265137, 14.403124809265137]"
1,"[9, 7, 4, 1]","[5, 5, 7, 24]","[10, 7, 6, 2]","[32, 16]",0.07695672491126856,"[0.9765076637268066, 0.9765076637268066]"
2,"[10, 6, 1]","[1, 4, 20]","[10, 9, 6]","[32, 8]",4.8898738121608965e-05,"[0.8854547739028931, 0.8854547739028931]"
3,"[5, 5, 2, 1]","[3, 16, 21, 21]","[8, 8, 6, 4]","[128, 2]",0.0003229714256820455,"[13.308955192565918, 13.308955192565918]"
4,"[10, 6, 6, 3, 2]","[6, 9, 14, 23, 23]","[8, 7, 3, 2, 1]",[16],0.002226159304945563,"[0.1604432314634323, 0.1604432314634323]"
5,"[8, 7, 4, 3]","[7, 14, 16, 20]","[9, 9, 8, 5]","[32, 8]",0.003934897318396649,"[0.06947333365678787, 0.06947333365678787]"
6,[1],[22],[4],"[128, 16]",0.003605718691927074,"[0.1873130202293396, 0.1873130202293396]"
7,"[10, 3, 3, 2, 1]","[8, 9, 13, 14, 19]","[10, 10, 7, 5, 4]",[4],4.7172211188231055e-05,"[0.7992081046104431, 0.7992081046104431]"
8,"[7, 3]","[14, 21]","[2, 1]","[16, 4]",1.586528911667573e-05,"[21.64344024658203, 21.64344024658203]"
9,"[10, 9, 9]","[4, 19, 21]","[10, 5, 2]","[128, 8, 8]",0.00021902112342682143,"[0.2361476868391037, 0.2361476868391037]"
10,"[9, 8, 7, 5, 4]","[4, 4, 11, 19, 19]","[9, 8, 5, 2, 2]",[8],0.029737653407131807,"[0.8340034484863281, 0.8340034484863281]"
11,"[9, 9, 7, 3]","[6, 9, 16, 20]","[8, 6, 4, 3]",[8],0.00017164207788653582,"[0.1957298368215561, 0.1957298368215561]"
12,"[9, 1]","[5, 17]","[8, 5]",[16],0.025823708047237565,"[0.21241812407970428, 0.21241812407970428]"
13,"[9, 7, 7, 3, 1]","[5, 6, 8, 19, 20]","[10, 8, 7, 5, 3]","[64, 32, 4]",0.0010430158461628015,"[0.16969870030879974, 0.16969870030879974]"
14,[7],[2],[1],[4],0.00019513328368609645,"[0.7606805562973022, 0.7606805562973022]"
15,"[8, 7, 6, 6, 3]","[1, 4, 15, 22, 23]","[4, 2, 1, 1, 1]","[128, 4]",0.0008457455297696737,"[1.0372817516326904, 1.0372817516326904]"
16,[3],[17],[3],[16],1.0869531969844947e-05,"[1.004335641860962, 1.004335641860962]"
17,[8],[8],[8],"[128, 64, 32]",0.01806422601194744,"[0.8552143573760986, 0.8552143573760986]"
18,"[5, 3]","[16, 17]","[4, 1]","[64, 32, 4]",0.00015790586996277393,"[0.1725665032863617, 0.1725665032863617]"
19,[8],[4],[9],"[32, 4]",4.95822615389214e-05,"[20.3636531829834, 20.3636531829834]"
