,kernel_sizes,filters,pool_sizes,FC_nodes,lr,performance
0,"[10, 6, 3]","[4, 5, 20]","[8, 5, 4]","[32, 32]",0.004417739893965475,"[0.8158255219459534, 0.8158255219459534]"
1,"[8, 5, 4, 4, 1]","[5, 6, 7, 15, 23]","[10, 7, 6, 6, 4]","[128, 64]",0.01900713471289476,"[0.6738004684448242, 0.6738004684448242]"
2,"[7, 2]","[12, 21]","[4, 4]","[64, 32]",0.00014588143126411878,"[0.9797680974006653, 0.9797680974006653]"
3,"[7, 6, 3, 3, 2]","[5, 11, 13, 14, 17]","[10, 9, 4, 3, 3]","[128, 32]",0.0032635323102951615,"[0.7792716026306152, 0.7792716026306152]"
4,"[7, 7, 7, 7, 1]","[2, 4, 5, 10, 12]","[7, 6, 6, 3, 2]","[128, 4, 4]",0.012229826272616403,"[0.43178924918174744, 0.43178924918174744]"
5,"[8, 7, 4, 2]","[6, 8, 16, 18]","[10, 7, 1, 1]",[2],0.00011526964517150736,"[0.9857388734817505, 0.9857388734817505]"
6,[2],[22],[9],"[128, 64, 4]",0.0002311397472668532,"[0.9543338418006897, 0.9543338418006897]"
7,"[9, 5, 4, 4, 1]","[3, 7, 18, 22, 24]","[10, 8, 7, 3, 3]","[64, 4]",0.043330002416540205,"[1.2554090023040771, 1.2554090023040771]"
8,[3],[17],[4],[64],0.004786927193262981,"[0.44749265909194946, 0.44749265909194946]"
9,[3],[20],[7],[2],0.007617500444578579,"[0.5079955458641052, 0.5079955458641052]"
10,"[9, 9, 4, 4, 2]","[5, 7, 17, 18, 19]","[10, 8, 7, 7, 1]","[128, 128, 32]",0.007142111781394285,"[0.4474989175796509, 0.4474989175796509]"
11,"[5, 4, 3]","[10, 10, 14]","[10, 7, 3]","[64, 4, 2]",0.03839389813305577,"[0.7952327132225037, 0.7952327132225037]"
12,[9],[19],[6],[64],0.00022487317582626558,"[0.9591371417045593, 0.9591371417045593]"
13,"[10, 9, 8, 2]","[6, 7, 13, 18]","[4, 4, 2, 1]","[64, 8]",0.022364806954906665,"[0.4480055570602417, 0.4480055570602417]"
14,[9],[4],[5],"[32, 16, 8]",0.00041311129105091847,"[0.928813636302948, 0.928813636302948]"
15,"[6, 6]","[5, 24]","[9, 4]",[4],0.003037193547172912,"[0.7150523066520691, 0.7150523066520691]"
16,[8],[4],[8],[2],0.05652411040926864,"[1.0305427312850952, 1.0305427312850952]"
17,"[7, 2, 2]","[1, 5, 22]","[7, 7, 6]","[128, 16, 4]",5.7087352160993506e-05,"[0.9862681031227112, 0.9862681031227112]"
18,"[8, 5, 5, 1]","[12, 13, 13, 19]","[10, 7, 7, 2]","[4, 2]",0.004991699670667126,"[1.2087528705596924, 1.2087528705596924]"
19,"[10, 8, 4, 1]","[9, 12, 12, 22]","[9, 8, 3, 1]","[128, 4, 2]",0.0004478509281334521,"[1.0492238998413086, 1.0492238998413086]"
20,"[4, 3, 2]","[9, 20, 24]","[10, 5, 2]",[128],0.0007594599072488527,"[0.8769240975379944, 0.8769240975379944]"
21,"[10, 8, 5, 3, 1]","[3, 7, 8, 11, 24]","[9, 9, 4, 3, 2]","[64, 32]",0.010351954961341076,"[0.21176251769065857, 0.21176251769065857]"
22,"[8, 7, 5, 2, 2]","[4, 4, 5, 19, 21]","[9, 9, 9, 7, 4]","[64, 8]",1.2196817678248481e-05,"[76.16973114013672, 76.16973114013672]"
23,[5],[13],[1],"[64, 4, 4]",0.00028284333170807926,"[0.9586330652236938, 0.9586330652236938]"
24,"[7, 5, 4, 2, 1]","[2, 5, 8, 10, 16]","[9, 9, 7, 5, 2]","[128, 128, 2]",0.001808785117944113,"[0.7523531317710876, 0.7523531317710876]"
25,[7],[12],[10],[16],6.082617424258555e-05,"[0.9782220125198364, 0.9782220125198364]"
26,"[10, 5, 4, 1]","[4, 12, 19, 24]","[6, 6, 3, 2]",[2],8.859500819075e-05,"[0.9830788969993591, 0.9830788969993591]"
27,[2],[13],[9],[2],5.993173018294859e-05,"[0.9792986512184143, 0.9792986512184143]"
28,"[6, 5, 4, 4, 1]","[1, 14, 15, 20, 23]","[9, 8, 2, 2, 2]","[32, 2]",0.00010116687184671196,"[0.9740080833435059, 0.9740080833435059]"
29,"[5, 4, 1]","[5, 19, 20]","[8, 6, 1]","[64, 16, 2]",0.00015534804699680565,"[0.9687255024909973, 0.9687255024909973]"
30,[10],[15],[6],"[128, 4, 2]",0.00012009790502812464,"[0.9831064343452454, 0.9831064343452454]"
31,[1],[7],[2],"[128, 128]",1.8236854136376796e-05,"[1.0831807851791382, 1.0831807851791382]"
32,"[10, 8, 5, 3]","[2, 6, 18, 21]","[10, 8, 7, 3]","[128, 16, 2]",1.1930421926313914e-05,"[0.9843538403511047, 0.9843538403511047]"
33,"[10, 9, 4, 1]","[1, 20, 24, 24]","[9, 6, 4, 2]","[8, 8, 2]",3.980424282635115e-05,"[0.985662579536438, 0.985662579536438]"
34,"[4, 1]","[21, 21]","[9, 6]","[64, 2, 2]",0.007147170008118397,"[0.5927585959434509, 0.5927585959434509]"
35,"[2, 1]","[10, 11]","[10, 5]",[64],9.070990515049725e-05,"[0.9782739281654358, 0.9782739281654358]"
36,[2],[10],[3],"[32, 4, 2]",0.0017729225563993996,"[0.6981432437896729, 0.6981432437896729]"
37,"[10, 9, 5, 5, 3]","[4, 8, 9, 11, 21]","[10, 10, 8, 8, 1]","[32, 2]",0.015187548205266594,"[0.9821245074272156, 0.9821245074272156]"
38,"[10, 8, 5, 3, 2]","[5, 11, 12, 17, 19]","[10, 5, 5, 2, 1]","[128, 8, 2]",0.00025794102835536447,"[0.9697439074516296, 0.9697439074516296]"
39,[1],[11],[7],"[64, 16]",0.016155561106577288,"[0.17500923573970795, 0.17500923573970795]"
40,"[7, 1]","[11, 21]","[10, 4]",[64],5.093812919911713e-05,"[0.9866153001785278, 0.9866153001785278]"
41,[3],[22],[2],[4],0.0010232477413886533,"[0.9011977314949036, 0.9011977314949036]"
42,"[10, 10, 3, 1]","[7, 11, 20, 22]","[9, 8, 3, 1]","[128, 16, 2]",0.0006842656140760791,"[0.905147135257721, 0.905147135257721]"
43,"[9, 8]","[10, 13]","[6, 6]","[32, 16]",5.9057292060826675e-05,"[0.982471227645874, 0.982471227645874]"
44,"[8, 3, 1, 1]","[3, 7, 10, 11]","[5, 4, 3, 2]","[128, 4, 2]",0.05560811092808488,"[0.9779679775238037, 0.9779679775238037]"
45,"[10, 1]","[5, 7]","[4, 3]","[16, 8, 2]",0.001628235428841373,"[0.8822765946388245, 0.8822765946388245]"
46,"[5, 5, 3, 3]","[7, 7, 8, 18]","[6, 6, 5, 2]",[4],0.001152557244615533,"[0.8643738031387329, 0.8643738031387329]"
47,[8],[14],[2],"[128, 64, 64]",0.00828815482851021,"[0.19574904441833496, 0.19574904441833496]"
48,[2],[5],[2],[4],4.112208566102935e-05,"[0.984410285949707, 0.984410285949707]"
49,"[10, 8, 6, 1]","[3, 8, 9, 10]","[8, 8, 8, 6]","[8, 8]",0.0030382706748492013,"[0.4838578701019287, 0.4838578701019287]"
50,"[7, 7, 6, 5]","[8, 12, 18, 24]","[6, 5, 4, 2]","[32, 4]",9.034448446453533e-05,"[0.9800498485565186, 0.9800498485565186]"
51,"[9, 9, 9, 7, 7]","[3, 11, 12, 21, 24]","[10, 10, 8, 3, 3]",[128],0.0001072207259558173,"[0.9824517369270325, 0.9824517369270325]"
52,"[8, 8, 5, 4]","[12, 19, 23, 24]","[10, 8, 5, 2]","[64, 2, 2]",1.0790753791069135e-05,"[38.57684326171875, 38.57684326171875]"
53,[2],[22],[3],[4],0.0007303676665273106,"[0.9589022397994995, 0.9589022397994995]"
54,[9],[12],[10],"[64, 64]",0.00012394801707374682,"[0.9826473593711853, 0.9826473593711853]"
55,"[9, 3, 1]","[10, 20, 20]","[9, 2, 2]","[32, 2]",0.00011092368918863227,"[0.9799078702926636, 0.9799078702926636]"
56,"[9, 8, 7, 7, 3]","[2, 6, 10, 16, 19]","[10, 8, 6, 6, 2]",[8],0.01961238926580968,"[0.3673824965953827, 0.3673824965953827]"
57,"[6, 4, 3]","[8, 9, 9]","[8, 8, 4]","[8, 8, 4]",0.00031277818341646175,"[0.9608404636383057, 0.9608404636383057]"
58,[8],[5],[3],[2],6.842742995134105e-05,"[0.9884191751480103, 0.9884191751480103]"
